CensusYear,Subject,Gender,AgeGroup,QualifiedEntrantType,StockSize
2014,Drama,Male,Less than 35,Not a qualified Entrant,381.18807811346426
2015,Drama,Male,Less than 35,Not a qualified Entrant,346.6911485607484
2016,Drama,Male,Less than 35,Not a qualified Entrant,314.3323636712932
2017,Drama,Male,Less than 35,Not a qualified Entrant,308.10157482532736
2011,English,Male,Less than 35,Not a qualified Entrant,1631.3030915210422
2012,English,Male,Less than 35,Not a qualified Entrant,1745.145666463358
2013,English,Male,Less than 35,Not a qualified Entrant,1788.3582546365333
2014,English,Male,Less than 35,Not a qualified Entrant,1865.843689933342
2015,English,Male,Less than 35,Not a qualified Entrant,1915.8941348193066
2016,English,Male,Less than 35,Not a qualified Entrant,1895.4401187379956
2017,English,Male,Less than 35,Not a qualified Entrant,1955.221486959017
2011,Food,Male,Less than 35,Not a qualified Entrant,49.611711728514564
2012,Food,Male,Less than 35,Not a qualified Entrant,50.86223109430281
2013,Food,Male,Less than 35,Not a qualified Entrant,57.24279543315432
2014,Food,Male,Less than 35,Not a qualified Entrant,48.54972210580347
2015,Food,Male,Less than 35,Not a qualified Entrant,60.50494871439366
2016,Food,Male,Less than 35,Not a qualified Entrant,54.69106935425528
2017,Food,Male,Less than 35,Not a qualified Entrant,46.86572705662783
2011,Geography,Male,Less than 35,Not a qualified Entrant,1275.803922941338
2012,Geography,Male,Less than 35,Not a qualified Entrant,1308.5222374311206
2013,Geography,Male,Less than 35,Not a qualified Entrant,1285.8829324229655
2014,Geography,Male,Less than 35,Not a qualified Entrant,1265.5506098466149
2015,Geography,Male,Less than 35,Not a qualified Entrant,1275.6645740980919
2016,Geography,Male,Less than 35,Not a qualified Entrant,1250.490781878977
2017,Geography,Male,Less than 35,Not a qualified Entrant,1218.9703167638052
2011,History,Male,Less than 35,Not a qualified Entrant,1391.567822017674
2012,History,Male,Less than 35,Not a qualified Entrant,1451.0014842546466
2013,History,Male,Less than 35,Not a qualified Entrant,1480.5888374109531
2014,History,Male,Less than 35,Not a qualified Entrant,1457.061246428445
2015,History,Male,Less than 35,Not a qualified Entrant,1494.7262617450874
2016,History,Male,Less than 35,Not a qualified Entrant,1499.9253667630057
2017,History,Male,Less than 35,Not a qualified Entrant,1560.9987475189441
2011,Mathematics,Male,Less than 35,Not a qualified Entrant,3079.7915096904376
2012,Mathematics,Male,Less than 35,Not a qualified Entrant,3285.0522598875186
2013,Mathematics,Male,Less than 35,Not a qualified Entrant,3492.3173622668432
2014,Mathematics,Male,Less than 35,Not a qualified Entrant,3521.195950558202
2015,Mathematics,Male,Less than 35,Not a qualified Entrant,3550.078036570798
2016,Mathematics,Male,Less than 35,Not a qualified Entrant,3595.0740145724067
2017,Mathematics,Male,Less than 35,Not a qualified Entrant,3634.517915206986
2011,Modern Foreign Languages,Male,Less than 35,Not a qualified Entrant,658.2791607753965
2012,Modern Foreign Languages,Male,Less than 35,Not a qualified Entrant,689.5523375685431
2013,Modern Foreign Languages,Male,Less than 35,Not a qualified Entrant,706.2648168970493
2014,Modern Foreign Languages,Male,Less than 35,Not a qualified Entrant,668.1869211489291
2015,Modern Foreign Languages,Male,Less than 35,Not a qualified Entrant,655.9655069096797
2016,Modern Foreign Languages,Male,Less than 35,Not a qualified Entrant,620.8512595329464
2017,Modern Foreign Languages,Male,Less than 35,Not a qualified Entrant,609.1250980594746
2011,Music,Male,Less than 35,Not a qualified Entrant,738.1096583634352
2012,Music,Male,Less than 35,Not a qualified Entrant,746.9487648930414
2013,Music,Male,Less than 35,Not a qualified Entrant,778.2352187804122
2014,Music,Male,Less than 35,Not a qualified Entrant,781.768792600262
2015,Music,Male,Less than 35,Not a qualified Entrant,743.4541435126459
2016,Music,Male,Less than 35,Not a qualified Entrant,706.4049729959895
2017,Music,Male,Less than 35,Not a qualified Entrant,672.1331167351357
2011,Others,Male,Less than 35,Not a qualified Entrant,1412.9415572320463
2012,Others,Male,Less than 35,Not a qualified Entrant,1401.4384557364428
2013,Others,Male,Less than 35,Not a qualified Entrant,1355.35733781035
2014,Others,Male,Less than 35,Not a qualified Entrant,1290.3892547884213
2015,Others,Male,Less than 35,Not a qualified Entrant,1173.7390022116265
2016,Others,Male,Less than 35,Not a qualified Entrant,1056.27923225826
2017,Others,Male,Less than 35,Not a qualified Entrant,996.0451707049501
2011,Physical Education,Male,Less than 35,Not a qualified Entrant,4688.129274194124
2012,Physical Education,Male,Less than 35,Not a qualified Entrant,4468.619912573313
2013,Physical Education,Male,Less than 35,Not a qualified Entrant,4244.829637307074
2014,Physical Education,Male,Less than 35,Not a qualified Entrant,4066.9801024861654
2015,Physical Education,Male,Less than 35,Not a qualified Entrant,3779.2829172040665
2016,Physical Education,Male,Less than 35,Not a qualified Entrant,3447.858876211566
2017,Physical Education,Male,Less than 35,Not a qualified Entrant,3333.2617139377408
2011,Physics,Male,Less than 35,Not a qualified Entrant,1373.6820284018925
2012,Physics,Male,Less than 35,Not a qualified Entrant,1461.5131425803113
2013,Physics,Male,Less than 35,Not a qualified Entrant,1430.451574156717
2014,Physics,Male,Less than 35,Not a qualified Entrant,1535.415116871627
2015,Physics,Male,Less than 35,Not a qualified Entrant,1430.0830654323795
2016,Physics,Male,Less than 35,Not a qualified Entrant,1450.1240491758017
2017,Physics,Male,Less than 35,Not a qualified Entrant,1457.771403268312
2011,Religious Education,Male,Less than 35,Not a qualified Entrant,634.0924238593311
2012,Religious Education,Male,Less than 35,Not a qualified Entrant,622.9808961222641
2013,Religious Education,Male,Less than 35,Not a qualified Entrant,628.7485161512839
2014,Religious Education,Male,Less than 35,Not a qualified Entrant,635.4853635062535
2015,Religious Education,Male,Less than 35,Not a qualified Entrant,632.6058623186547
2016,Religious Education,Male,Less than 35,Not a qualified Entrant,627.8736103443532
2017,Religious Education,Male,Less than 35,Not a qualified Entrant,591.3870042093586
2011,Art & Design,Female,35-54,New to the state funded sector,20.263078231035614
2012,Art & Design,Female,35-54,New to the state funded sector,35.08079771556534
2013,Art & Design,Female,35-54,New to the state funded sector,29.373785254434456
2014,Art & Design,Female,35-54,New to the state funded sector,27.137097116910063
2015,Art & Design,Female,35-54,New to the state funded sector,20.776355134563758
2016,Art & Design,Female,35-54,New to the state funded sector,22.670082531369285
2017,Art & Design,Female,35-54,New to the state funded sector,17.994894795566275
2011,Biology,Female,35-54,New to the state funded sector,50.25102274653392
2012,Biology,Female,35-54,New to the state funded sector,39.04294496512693
2013,Biology,Female,35-54,New to the state funded sector,37.52565635076353
2014,Biology,Female,35-54,New to the state funded sector,27.93063785801223
2015,Biology,Female,35-54,New to the state funded sector,25.52334883282481
2016,Biology,Female,35-54,New to the state funded sector,18.963904965253597
2017,Biology,Female,35-54,New to the state funded sector,19.812461094258815
2011,Business Studies,Female,35-54,New to the state funded sector,15.126473032713399
2012,Business Studies,Female,35-54,New to the state funded sector,9.345098275463059
2013,Business Studies,Female,35-54,New to the state funded sector,20.983610711941353
2014,Business Studies,Female,35-54,New to the state funded sector,19.540331535190525
2015,Business Studies,Female,35-54,New to the state funded sector,15.80117927814435
2016,Business Studies,Female,35-54,New to the state funded sector,8.709672225987008
2017,Business Studies,Female,35-54,New to the state funded sector,13.191172832203474
2011,Chemistry,Female,35-54,New to the state funded sector,26.50121812452176
2012,Chemistry,Female,35-54,New to the state funded sector,19.50227986822969
2013,Chemistry,Female,35-54,New to the state funded sector,38.386298905775924
2014,Chemistry,Female,35-54,New to the state funded sector,34.94207363394352
2015,Chemistry,Female,35-54,New to the state funded sector,15.06410504726205
2016,Chemistry,Female,35-54,New to the state funded sector,21.311169946800128
2017,Chemistry,Female,35-54,New to the state funded sector,18.34719931050712
2011,Classics,Female,35-54,New to the state funded sector,2.8148303470793445
2012,Classics,Female,35-54,New to the state funded sector,0.39988340331335737
2013,Classics,Female,35-54,New to the state funded sector,2.987084237769201
2014,Classics,Female,35-54,New to the state funded sector,3.7652329608125967
2015,Classics,Female,35-54,New to the state funded sector,1.4558865561136622
2016,Classics,Female,35-54,New to the state funded sector,1.4614108934093504
2017,Classics,Female,35-54,New to the state funded sector,0.8225590228268653
2011,Computing,Female,35-54,New to the state funded sector,13.112571337886848
2012,Computing,Female,35-54,New to the state funded sector,23.21338542131454
2013,Computing,Female,35-54,New to the state funded sector,15.821403694114
2014,Computing,Female,35-54,New to the state funded sector,15.934731323671073
2015,Computing,Female,35-54,New to the state funded sector,15.430642920193177
2016,Computing,Female,35-54,New to the state funded sector,12.640796242394266
2017,Computing,Female,35-54,New to the state funded sector,15.065978029534675
2011,Design & Technology,Female,35-54,New to the state funded sector,21.257229318223136
2012,Design & Technology,Female,35-54,New to the state funded sector,43.00617544736862
2013,Design & Technology,Female,35-54,New to the state funded sector,29.98408536940962
2014,Design & Technology,Female,35-54,New to the state funded sector,35.96793724884613
2015,Design & Technology,Female,35-54,New to the state funded sector,13.319667430399923
2016,Design & Technology,Female,35-54,New to the state funded sector,21.34951808196547
2017,Design & Technology,Female,35-54,New to the state funded sector,20.190733735773975
2011,Drama,Female,35-54,New to the state funded sector,7.976302552772209
2012,Drama,Female,35-54,New to the state funded sector,9.357660308695918
2013,Drama,Female,35-54,New to the state funded sector,13.494948125396432
2014,Drama,Female,35-54,New to the state funded sector,14.726578799892867
2015,Drama,Female,35-54,New to the state funded sector,5.5951160581315635
2016,Drama,Female,35-54,New to the state funded sector,9.984721071738882
2017,Drama,Female,35-54,New to the state funded sector,4.81021678796506
2011,English,Female,35-54,New to the state funded sector,68.41756852747166
2012,English,Female,35-54,New to the state funded sector,73.3702793772138
2013,English,Female,35-54,New to the state funded sector,59.04237172724577
2014,English,Female,35-54,New to the state funded sector,84.25357282670504
2015,English,Female,35-54,New to the state funded sector,80.44012720286544
2016,English,Female,35-54,New to the state funded sector,67.23573112053161
2017,English,Female,35-54,New to the state funded sector,65.99901884272973
2011,Food,Female,35-54,New to the state funded sector,11.178366379038781
2012,Food,Female,35-54,New to the state funded sector,13.604213539685603
2013,Food,Female,35-54,New to the state funded sector,9.684651347302275
2014,Food,Female,35-54,New to the state funded sector,9.403184682879665
2015,Food,Female,35-54,New to the state funded sector,11.090098761596625
2016,Food,Female,35-54,New to the state funded sector,7.816756800958931
2017,Food,Female,35-54,New to the state funded sector,9.148667021821272
2011,Geography,Female,35-54,New to the state funded sector,8.602061593876043
2012,Geography,Female,35-54,New to the state funded sector,4.096092966611557
2013,Geography,Female,35-54,New to the state funded sector,6.381507104143842
2014,Geography,Female,35-54,New to the state funded sector,21.267461177556722
2015,Geography,Female,35-54,New to the state funded sector,8.536857400178532
2016,Geography,Female,35-54,New to the state funded sector,16.079674873925462
2017,Geography,Female,35-54,New to the state funded sector,14.00788961591781
2011,History,Female,35-54,New to the state funded sector,9.874760522332345
2012,History,Female,35-54,New to the state funded sector,20.28981828949828
2013,History,Female,35-54,New to the state funded sector,11.15892778160457
2014,History,Female,35-54,New to the state funded sector,12.43948842318379
2015,History,Female,35-54,New to the state funded sector,14.068359954205308
2016,History,Female,35-54,New to the state funded sector,10.98995745580509
2017,History,Female,35-54,New to the state funded sector,5.964822262469832
2011,Mathematics,Female,35-54,New to the state funded sector,77.70677261621667
2012,Mathematics,Female,35-54,New to the state funded sector,58.1642032903147
2013,Mathematics,Female,35-54,New to the state funded sector,78.29217012972299
2014,Mathematics,Female,35-54,New to the state funded sector,71.27030691066167
2015,Mathematics,Female,35-54,New to the state funded sector,80.25962411854309
2016,Mathematics,Female,35-54,New to the state funded sector,77.42129576131431
2017,Mathematics,Female,35-54,New to the state funded sector,76.18021326943878
2011,Modern Foreign Languages,Female,35-54,New to the state funded sector,83.9860191893212
2012,Modern Foreign Languages,Female,35-54,New to the state funded sector,90.39588547208288
2013,Modern Foreign Languages,Female,35-54,New to the state funded sector,84.46726968575949
2014,Modern Foreign Languages,Female,35-54,New to the state funded sector,75.47804278868658
2015,Modern Foreign Languages,Female,35-54,New to the state funded sector,83.22438396547383
2016,Modern Foreign Languages,Female,35-54,New to the state funded sector,77.30918661266512
2017,Modern Foreign Languages,Female,35-54,New to the state funded sector,71.99231080955617
2011,Music,Female,35-54,New to the state funded sector,3.659873430549972
2012,Music,Female,35-54,New to the state funded sector,8.4995660602250709
2013,Music,Female,35-54,New to the state funded sector,7.645524417113047
2014,Music,Female,35-54,New to the state funded sector,8.497321762557364
2015,Music,Female,35-54,New to the state funded sector,9.838160945624015
2016,Music,Female,35-54,New to the state funded sector,4.262581266266718
2017,Music,Female,35-54,New to the state funded sector,7.162563528945636
2011,Others,Female,35-54,New to the state funded sector,40.15985302472653
2012,Others,Female,35-54,New to the state funded sector,48.786319537947975
2013,Others,Female,35-54,New to the state funded sector,37.97011437751864
2014,Others,Female,35-54,New to the state funded sector,40.90761088944694
2015,Others,Female,35-54,New to the state funded sector,27.139346415896043
2016,Others,Female,35-54,New to the state funded sector,25.08773660543864
2017,Others,Female,35-54,New to the state funded sector,21.124004439232827
2011,Physical Education,Female,35-54,New to the state funded sector,4.499643811086338
2012,Physical Education,Female,35-54,New to the state funded sector,10.404655129034747
2013,Physical Education,Female,35-54,New to the state funded sector,7.430414443016817
2014,Physical Education,Female,35-54,New to the state funded sector,9.475614298168685
2015,Physical Education,Female,35-54,New to the state funded sector,0.6489299238363939
2016,Physical Education,Female,35-54,New to the state funded sector,12.399118519021243
2017,Physical Education,Female,35-54,New to the state funded sector,8.22831742623492
2011,Physics,Female,35-54,New to the state funded sector,7.303777332888853
2012,Physics,Female,35-54,New to the state funded sector,13.671300214141253
2013,Physics,Female,35-54,New to the state funded sector,21.317829432501902
2014,Physics,Female,35-54,New to the state funded sector,26.7370971406374
2015,Physics,Female,35-54,New to the state funded sector,29.133958856295976
2016,Physics,Female,35-54,New to the state funded sector,20.051370824618253
2017,Physics,Female,35-54,New to the state funded sector,17.259454954570867
2011,Religious Education,Female,35-54,New to the state funded sector,11.715180132480892
2012,Religious Education,Female,35-54,New to the state funded sector,22.645040415675005
2013,Religious Education,Female,35-54,New to the state funded sector,12.435484027007222
2014,Religious Education,Female,35-54,New to the state funded sector,19.849542629431237
2015,Religious Education,Female,35-54,New to the state funded sector,11.261276796392547
2016,Religious Education,Female,35-54,New to the state funded sector,5.731670423945378
2017,Religious Education,Female,35-54,New to the state funded sector,12.344227560138265
2011,Art & Design,Male,35-54,New to the state funded sector,7.14073719145305
2012,Art & Design,Male,35-54,New to the state funded sector,9.444814994347158
2013,Art & Design,Male,35-54,New to the state funded sector,7.103433904521402
2014,Art & Design,Male,35-54,New to the state funded sector,9.03008897294017
2015,Art & Design,Male,35-54,New to the state funded sector,7.3166400920466685
2016,Art & Design,Male,35-54,New to the state funded sector,1.1391507096199374
2017,Art & Design,Male,35-54,New to the state funded sector,2.3021560728728296
2011,Biology,Male,35-54,New to the state funded sector,9.33071991130997
2012,Biology,Male,35-54,New to the state funded sector,23.49291677656389
2013,Biology,Male,35-54,New to the state funded sector,13.905826922573368
2014,Biology,Male,35-54,New to the state funded sector,30.472018829098392
2015,Biology,Male,35-54,New to the state funded sector,17.2057119392199
2016,Biology,Male,35-54,New to the state funded sector,9.515975740464183
2017,Biology,Male,35-54,New to the state funded sector,9.148465725783188
2011,Business Studies,Male,35-54,New to the state funded sector,8.293407763106774
2012,Business Studies,Male,35-54,New to the state funded sector,14.874628205947944
2013,Business Studies,Male,35-54,New to the state funded sector,16.79345878839642
2014,Business Studies,Male,35-54,New to the state funded sector,18.137788554508674
2015,Business Studies,Male,35-54,New to the state funded sector,16.63952380986308
2016,Business Studies,Male,35-54,New to the state funded sector,8.945687788044962
2017,Business Studies,Male,35-54,New to the state funded sector,9.498097380063188
2011,Chemistry,Male,35-54,New to the state funded sector,24.403361288155757
2012,Chemistry,Male,35-54,New to the state funded sector,11.311156848904707
2013,Chemistry,Male,35-54,New to the state funded sector,22.398044972891544
2014,Chemistry,Male,35-54,New to the state funded sector,9.409324568984097
2015,Chemistry,Male,35-54,New to the state funded sector,22.524613751262248
2016,Chemistry,Male,35-54,New to the state funded sector,12.366904828441195
2017,Chemistry,Male,35-54,New to the state funded sector,7.024290762277241
2011,Classics,Male,35-54,New to the state funded sector,1.4652078691998702
2012,Classics,Male,35-54,New to the state funded sector,3.0165309236242632
2013,Classics,Male,35-54,New to the state funded sector,0.8941496582161986
2014,Classics,Male,35-54,New to the state funded sector,0
2015,Classics,Male,35-54,New to the state funded sector,1.2393539657655956
2016,Classics,Male,35-54,New to the state funded sector,1.863773463543025
2017,Classics,Male,35-54,New to the state funded sector,3.2923670313854583
2011,Computing,Male,35-54,New to the state funded sector,22.236676532377025
2012,Computing,Male,35-54,New to the state funded sector,23.205789412667542
2013,Computing,Male,35-54,New to the state funded sector,22.68265556293707
2014,Computing,Male,35-54,New to the state funded sector,23.36590834697514
2015,Computing,Male,35-54,New to the state funded sector,11.48059146494412
2016,Computing,Male,35-54,New to the state funded sector,18.45327078421186
2017,Computing,Male,35-54,New to the state funded sector,22.446701983538006
2011,Design & Technology,Male,35-54,New to the state funded sector,19.92888035379022
2012,Design & Technology,Male,35-54,New to the state funded sector,28.88453475881795
2013,Design & Technology,Male,35-54,New to the state funded sector,28.11978285512165
2014,Design & Technology,Male,35-54,New to the state funded sector,11.281076634631342
2015,Design & Technology,Male,35-54,New to the state funded sector,20.004365782507442
2016,Design & Technology,Male,35-54,New to the state funded sector,11.627872770582893
2017,Design & Technology,Male,35-54,New to the state funded sector,9.277496629341238
2011,Drama,Male,35-54,New to the state funded sector,5.928733609897188
2012,Drama,Male,35-54,New to the state funded sector,2.516380181515523
2013,Drama,Male,35-54,New to the state funded sector,3.5268458140320105
2014,Drama,Male,35-54,New to the state funded sector,4.271576311435562
2015,Drama,Male,35-54,New to the state funded sector,1.804029193782011
2016,Drama,Male,35-54,New to the state funded sector,3.590754609377001
2017,Drama,Male,35-54,New to the state funded sector,5.550961995804521
2011,English,Male,35-54,New to the state funded sector,20.99151568456625
2012,English,Male,35-54,New to the state funded sector,17.627405541179115
2013,English,Male,35-54,New to the state funded sector,20.718894340471333
2014,English,Male,35-54,New to the state funded sector,24.688341487663763
2015,English,Male,35-54,New to the state funded sector,21.278953378671147
2016,English,Male,35-54,New to the state funded sector,17.888437186726698
2017,English,Male,35-54,New to the state funded sector,20.180719851949263
2011,Food,Male,35-54,New to the state funded sector,1.0567768801291022
2012,Food,Male,35-54,New to the state funded sector,0.23071052916240178
2013,Food,Male,35-54,New to the state funded sector,1.9852766173997367
2014,Food,Male,35-54,New to the state funded sector,1.4200017629168609
2015,Food,Male,35-54,New to the state funded sector,0.8682486093716953
2016,Food,Male,35-54,New to the state funded sector,0
2017,Food,Male,35-54,New to the state funded sector,0
2011,Geography,Male,35-54,New to the state funded sector,0.8900086739646089
2012,Geography,Male,35-54,New to the state funded sector,0
2013,Geography,Male,35-54,New to the state funded sector,2.0079691352170492
2014,Geography,Male,35-54,New to the state funded sector,10.52178142197814
2015,Geography,Male,35-54,New to the state funded sector,10.572097944444096
2016,Geography,Male,35-54,New to the state funded sector,7.493998983607545
2017,Geography,Male,35-54,New to the state funded sector,17.808335579518968
2011,History,Male,35-54,New to the state funded sector,13.719307434002342
2012,History,Male,35-54,New to the state funded sector,0
2013,History,Male,35-54,New to the state funded sector,11.679741844196787
2014,History,Male,35-54,New to the state funded sector,14.20236891301469
2015,History,Male,35-54,New to the state funded sector,4.6483783247403565
2016,History,Male,35-54,New to the state funded sector,9.004176053644054
2017,History,Male,35-54,New to the state funded sector,5.345335815611375
2011,Mathematics,Male,35-54,New to the state funded sector,55.76014881513346
2012,Mathematics,Male,35-54,New to the state funded sector,62.2305532598016
2013,Mathematics,Male,35-54,New to the state funded sector,56.04159193377643
2014,Mathematics,Male,35-54,New to the state funded sector,67.21655651330634
2015,Mathematics,Male,35-54,New to the state funded sector,65.26766387637008
2016,Mathematics,Male,35-54,New to the state funded sector,40.60559085237571
2017,Mathematics,Male,35-54,New to the state funded sector,56.871330549368935
2011,Modern Foreign Languages,Male,35-54,New to the state funded sector,11.874495421500416
2012,Modern Foreign Languages,Male,35-54,New to the state funded sector,16.056056621806825
2013,Modern Foreign Languages,Male,35-54,New to the state funded sector,14.024634091196939
2014,Modern Foreign Languages,Male,35-54,New to the state funded sector,22.64979583090254
2015,Modern Foreign Languages,Male,35-54,New to the state funded sector,15.010982145965418
2016,Modern Foreign Languages,Male,35-54,New to the state funded sector,12.41166085594028
2017,Modern Foreign Languages,Male,35-54,New to the state funded sector,17.609775223062282
2011,Music,Male,35-54,New to the state funded sector,14.243822880302766
2012,Music,Male,35-54,New to the state funded sector,8.814382901957202
2013,Music,Male,35-54,New to the state funded sector,8.323217833739822
2014,Music,Male,35-54,New to the state funded sector,15.605242885259699
2015,Music,Male,35-54,New to the state funded sector,1.581763748553632
2016,Music,Male,35-54,New to the state funded sector,6.8148791765622185
2017,Music,Male,35-54,New to the state funded sector,13.523245564643574
2011,Others,Male,35-54,New to the state funded sector,16.523179556807207
2012,Others,Male,35-54,New to the state funded sector,9.084668038334819
2013,Others,Male,35-54,New to the state funded sector,19.4351498626821
2014,Others,Male,35-54,New to the state funded sector,23.244547449877434
2015,Others,Male,35-54,New to the state funded sector,14.475586413785772
2016,Others,Male,35-54,New to the state funded sector,11.886329828568044
2017,Others,Male,35-54,New to the state funded sector,11.398978863123439
2011,Physical Education,Male,35-54,New to the state funded sector,7.582133814767621
2012,Physical Education,Male,35-54,New to the state funded sector,11.621625495242156
2013,Physical Education,Male,35-54,New to the state funded sector,14.181547989792078
2014,Physical Education,Male,35-54,New to the state funded sector,7.799053049139915
2015,Physical Education,Male,35-54,New to the state funded sector,5.7424804385579
2016,Physical Education,Male,35-54,New to the state funded sector,5.291666050083766
2017,Physical Education,Male,35-54,New to the state funded sector,6.7628530211950935
2011,Physics,Male,35-54,New to the state funded sector,24.93638366603414
2012,Physics,Male,35-54,New to the state funded sector,21.815976268087486
2013,Physics,Male,35-54,New to the state funded sector,25.243653327603067
2014,Physics,Male,35-54,New to the state funded sector,23.393072729634543
2015,Physics,Male,35-54,New to the state funded sector,18.710199097612517
2016,Physics,Male,35-54,New to the state funded sector,28.846261741444465
2017,Physics,Male,35-54,New to the state funded sector,18.169528764373453
2011,Religious Education,Male,35-54,New to the state funded sector,5.8907442296871775
2012,Religious Education,Male,35-54,New to the state funded sector,9.492502312901602
2013,Religious Education,Male,35-54,New to the state funded sector,9.896569587911912
2014,Religious Education,Male,35-54,New to the state funded sector,16.537972764143564
2015,Religious Education,Male,35-54,New to the state funded sector,11.68606591332004
2016,Religious Education,Male,35-54,New to the state funded sector,14.266415285321532
2017,Religious Education,Male,35-54,New to the state funded sector,7.923802516708244
2011,Art & Design,Female,55 and over,New to the state funded sector,3.4201144995759707
2012,Art & Design,Female,55 and over,New to the state funded sector,4.9085968613251545
2013,Art & Design,Female,55 and over,New to the state funded sector,3.319308098320553
2014,Art & Design,Female,55 and over,New to the state funded sector,1.7723858035781952
2015,Art & Design,Female,55 and over,New to the state funded sector,3.5970327523044157
2016,Art & Design,Female,55 and over,New to the state funded sector,1.3475173068911432
2017,Art & Design,Female,55 and over,New to the state funded sector,0
2011,Biology,Female,55 and over,New to the state funded sector,0
2012,Biology,Female,55 and over,New to the state funded sector,0
2013,Biology,Female,55 and over,New to the state funded sector,0
2014,Biology,Female,55 and over,New to the state funded sector,5.317157410734586
2015,Biology,Female,55 and over,New to the state funded sector,7.3889339993128
2016,Biology,Female,55 and over,New to the state funded sector,0.5870297435722469
2017,Biology,Female,55 and over,New to the state funded sector,0
2011,Business Studies,Female,55 and over,New to the state funded sector,4.483582025772729
2012,Business Studies,Female,55 and over,New to the state funded sector,1.926952421742108
2013,Business Studies,Female,55 and over,New to the state funded sector,0
2014,Business Studies,Female,55 and over,New to the state funded sector,1.7723858035781952
2015,Business Studies,Female,55 and over,New to the state funded sector,0
2016,Business Studies,Female,55 and over,New to the state funded sector,0
2017,Business Studies,Female,55 and over,New to the state funded sector,0
2011,Chemistry,Female,55 and over,New to the state funded sector,0
2012,Chemistry,Female,55 and over,New to the state funded sector,0
2013,Chemistry,Female,55 and over,New to the state funded sector,3.3193080983205543
2014,Chemistry,Female,55 and over,New to the state funded sector,0
2015,Chemistry,Female,55 and over,New to the state funded sector,0
2016,Chemistry,Female,55 and over,New to the state funded sector,3.307353153523104
2017,Chemistry,Female,55 and over,New to the state funded sector,2.1637683381811867
2011,Classics,Female,55 and over,New to the state funded sector,0
2012,Classics,Female,55 and over,New to the state funded sector,2.564032702652683
2013,Classics,Female,55 and over,New to the state funded sector,0
2014,Classics,Female,55 and over,New to the state funded sector,0
2015,Classics,Female,55 and over,New to the state funded sector,0
2016,Classics,Female,55 and over,New to the state funded sector,3.191911140699747
2017,Classics,Female,55 and over,New to the state funded sector,0
2011,Computing,Female,55 and over,New to the state funded sector,0
2012,Computing,Female,55 and over,New to the state funded sector,0
2013,Computing,Female,55 and over,New to the state funded sector,0
2014,Computing,Female,55 and over,New to the state funded sector,0
2015,Computing,Female,55 and over,New to the state funded sector,0
2016,Computing,Female,55 and over,New to the state funded sector,1.9673752680610692
2017,Computing,Female,55 and over,New to the state funded sector,1.726550537689093
2011,Design & Technology,Female,55 and over,New to the state funded sector,1.4736083401435103
2012,Design & Technology,Female,55 and over,New to the state funded sector,2.564032702652683
2013,Design & Technology,Female,55 and over,New to the state funded sector,1.206933617630336
2014,Design & Technology,Female,55 and over,New to the state funded sector,3.6487397583942878
2015,Design & Technology,Female,55 and over,New to the state funded sector,4.184322244943144
2016,Design & Technology,Female,55 and over,New to the state funded sector,3.2753974251758153
2017,Design & Technology,Female,55 and over,New to the state funded sector,5.039753144101699
2011,Drama,Female,55 and over,New to the state funded sector,2.154033856906538
2012,Drama,Female,55 and over,New to the state funded sector,0
2013,Drama,Female,55 and over,New to the state funded sector,0.503966187431882
2014,Drama,Female,55 and over,New to the state funded sector,3.156745657273805
2015,Drama,Female,55 and over,New to the state funded sector,1.262343035892874
2016,Drama,Female,55 and over,New to the state funded sector,3.5535602699877384
2017,Drama,Female,55 and over,New to the state funded sector,0
2011,English,Female,55 and over,New to the state funded sector,11.502530466877982
2012,English,Female,55 and over,New to the state funded sector,12.743752435588586
2013,English,Female,55 and over,New to the state funded sector,12.489815992363887
2014,English,Female,55 and over,New to the state funded sector,13.4300562417317
2015,English,Female,55 and over,New to the state funded sector,11.19994945183787
2016,English,Female,55 and over,New to the state funded sector,11.07334145837141
2017,English,Female,55 and over,New to the state funded sector,4.087527673441816
2011,Food,Female,55 and over,New to the state funded sector,2.564102119592212
2012,Food,Female,55 and over,New to the state funded sector,0
2013,Food,Female,55 and over,New to the state funded sector,0.45272043152994024
2014,Food,Female,55 and over,New to the state funded sector,0
2015,Food,Female,55 and over,New to the state funded sector,2.165300698489985
2016,Food,Female,55 and over,New to the state funded sector,0.19279013249871804
2017,Food,Female,55 and over,New to the state funded sector,1.4068295067503294
2011,Geography,Female,55 and over,New to the state funded sector,6.921112592785873
2012,Geography,Female,55 and over,New to the state funded sector,0
2013,Geography,Female,55 and over,New to the state funded sector,0
2014,Geography,Female,55 and over,New to the state funded sector,5.697476142199182
2015,Geography,Female,55 and over,New to the state funded sector,2.1911222175259164
2016,Geography,Female,55 and over,New to the state funded sector,2.1578623269337354
2017,Geography,Female,55 and over,New to the state funded sector,0
2011,History,Female,55 and over,New to the state funded sector,0.39239613159259756
2012,History,Female,55 and over,New to the state funded sector,0
2013,History,Female,55 and over,New to the state funded sector,0
2014,History,Female,55 and over,New to the state funded sector,5.861668240866498
2015,History,Female,55 and over,New to the state funded sector,3.437458247051159
2016,History,Female,55 and over,New to the state funded sector,0
2017,History,Female,55 and over,New to the state funded sector,0
2011,Mathematics,Female,55 and over,New to the state funded sector,3.855207269035954
2012,Mathematics,Female,55 and over,New to the state funded sector,11.166282842678285
