CensusYear,Subject,Gender,AgeGroup,QualifiedLeaverType,StockSize
2013,Others,Female,Less than 35,Not a qualified Leaver,3890.6504884484766
2014,Others,Female,Less than 35,Not a qualified Leaver,3806.0136145855276
2015,Others,Female,Less than 35,Not a qualified Leaver,3773.7121805853453
2016,Others,Female,Less than 35,Not a qualified Leaver,3412.572978133049
2017,Others,Female,Less than 35,Not a qualified Leaver,3052.786555188598
2011,Physical Education,Female,Less than 35,Not a qualified Leaver,5718.905849210869
2012,Physical Education,Female,Less than 35,Not a qualified Leaver,5626.473402339963
2013,Physical Education,Female,Less than 35,Not a qualified Leaver,5550.156005972268
2014,Physical Education,Female,Less than 35,Not a qualified Leaver,5274.882333005
2015,Physical Education,Female,Less than 35,Not a qualified Leaver,5102.288816308963
2016,Physical Education,Female,Less than 35,Not a qualified Leaver,4698.469425007959
2017,Physical Education,Female,Less than 35,Not a qualified Leaver,4561.683893055687
2011,Physics,Female,Less than 35,Not a qualified Leaver,993.6823285656417
2012,Physics,Female,Less than 35,Not a qualified Leaver,1065.2142623166162
2013,Physics,Female,Less than 35,Not a qualified Leaver,1061.2563165328133
2014,Physics,Female,Less than 35,Not a qualified Leaver,1090.773337889978
2015,Physics,Female,Less than 35,Not a qualified Leaver,1142.6770014649637
2016,Physics,Female,Less than 35,Not a qualified Leaver,1126.0192642450747
2017,Physics,Female,Less than 35,Not a qualified Leaver,1182.4119730558818
2011,Religious Education,Female,Less than 35,Not a qualified Leaver,2093.3979168581523
2012,Religious Education,Female,Less than 35,Not a qualified Leaver,2173.357946600365
2013,Religious Education,Female,Less than 35,Not a qualified Leaver,2236.8522630020925
2014,Religious Education,Female,Less than 35,Not a qualified Leaver,2190.3000708966283
2015,Religious Education,Female,Less than 35,Not a qualified Leaver,2155.5040633224917
2016,Religious Education,Female,Less than 35,Not a qualified Leaver,2188.8212860439817
2017,Religious Education,Female,Less than 35,Not a qualified Leaver,2139.3484380130935
2011,Art & Design,Male,Less than 35,Not a qualified Leaver,539.0416585550666
2012,Art & Design,Male,Less than 35,Not a qualified Leaver,513.7755669644711
2013,Art & Design,Male,Less than 35,Not a qualified Leaver,487.6123413158913
2014,Art & Design,Male,Less than 35,Not a qualified Leaver,474.5854202568236
2015,Art & Design,Male,Less than 35,Not a qualified Leaver,443.81132104360825
2016,Art & Design,Male,Less than 35,Not a qualified Leaver,416.35923198150897
2017,Art & Design,Male,Less than 35,Not a qualified Leaver,366.1273062443752
2011,Biology,Male,Less than 35,Not a qualified Leaver,1423.5533643434462
2012,Biology,Male,Less than 35,Not a qualified Leaver,1350.857049958359
2013,Biology,Male,Less than 35,Not a qualified Leaver,1374.9011044864737
2014,Biology,Male,Less than 35,Not a qualified Leaver,1299.2769747310133
2015,Biology,Male,Less than 35,Not a qualified Leaver,1266.3127978602215
2016,Biology,Male,Less than 35,Not a qualified Leaver,1189.6121018171616
2017,Biology,Male,Less than 35,Not a qualified Leaver,1130.9823673767664
2011,Business Studies,Male,Less than 35,Not a qualified Leaver,792.1479490725062
2012,Business Studies,Male,Less than 35,Not a qualified Leaver,817.3549757837181
2013,Business Studies,Male,Less than 35,Not a qualified Leaver,779.1060974901724
2014,Business Studies,Male,Less than 35,Not a qualified Leaver,752.651827077511
2015,Business Studies,Male,Less than 35,Not a qualified Leaver,732.0723534469712
2016,Business Studies,Male,Less than 35,Not a qualified Leaver,674.1907991860868
2017,Business Studies,Male,Less than 35,Not a qualified Leaver,629.1900829867336
2011,Chemistry,Male,Less than 35,Not a qualified Leaver,1059.4883708171624
2012,Chemistry,Male,Less than 35,Not a qualified Leaver,1099.6311052674812
2013,Chemistry,Male,Less than 35,Not a qualified Leaver,1157.038320564083
2014,Chemistry,Male,Less than 35,Not a qualified Leaver,1247.7664803949176
2015,Chemistry,Male,Less than 35,Not a qualified Leaver,1200.6041557467372
2016,Chemistry,Male,Less than 35,Not a qualified Leaver,1219.9285429499603
2017,Chemistry,Male,Less than 35,Not a qualified Leaver,1180.3638364088756
2011,Classics,Male,Less than 35,Not a qualified Leaver,24.96108998218258
2012,Classics,Male,Less than 35,Not a qualified Leaver,18.998996264052916
2013,Classics,Male,Less than 35,Not a qualified Leaver,22.52043908618809
2014,Classics,Male,Less than 35,Not a qualified Leaver,31.750400193990103
2015,Classics,Male,Less than 35,Not a qualified Leaver,35.43388710180457
2016,Classics,Male,Less than 35,Not a qualified Leaver,39.852716392265876
2017,Classics,Male,Less than 35,Not a qualified Leaver,37.68973587479006
2011,Computing,Male,Less than 35,Not a qualified Leaver,2017.8581920689826
2012,Computing,Male,Less than 35,Not a qualified Leaver,1932.8334301275986
2013,Computing,Male,Less than 35,Not a qualified Leaver,1878.8486369757047
2014,Computing,Male,Less than 35,Not a qualified Leaver,1741.5020516272423
2015,Computing,Male,Less than 35,Not a qualified Leaver,1557.1451606895664
2016,Computing,Male,Less than 35,Not a qualified Leaver,1391.1202593604237
2017,Computing,Male,Less than 35,Not a qualified Leaver,1217.750704087134
2011,Design & Technology,Male,Less than 35,Not a qualified Leaver,1318.5973433857985
2012,Design & Technology,Male,Less than 35,Not a qualified Leaver,1253.2936182384801
2013,Design & Technology,Male,Less than 35,Not a qualified Leaver,1242.4282818261281
2014,Design & Technology,Male,Less than 35,Not a qualified Leaver,1199.097962339053
2015,Design & Technology,Male,Less than 35,Not a qualified Leaver,1131.1391545065678
2016,Design & Technology,Male,Less than 35,Not a qualified Leaver,1019.3283064375938
2017,Design & Technology,Male,Less than 35,Not a qualified Leaver,925.23097742188
2011,Drama,Male,Less than 35,Not a qualified Leaver,435.2476128484564
2012,Drama,Male,Less than 35,Not a qualified Leaver,461.0456146348015
2013,Drama,Male,Less than 35,Not a qualified Leaver,442.07174271246157
2014,Drama,Male,Less than 35,Not a qualified Leaver,430.60998718394035
2015,Drama,Male,Less than 35,Not a qualified Leaver,411.1148081120034
2016,Drama,Male,Less than 35,Not a qualified Leaver,360.6378667200195
2017,Drama,Male,Less than 35,Not a qualified Leaver,335.0895627332319
2011,English,Male,Less than 35,Not a qualified Leaver,1771.0260961852541
2012,English,Male,Less than 35,Not a qualified Leaver,1871.478335011358
2013,English,Male,Less than 35,Not a qualified Leaver,1970.4626052666645
2014,English,Male,Less than 35,Not a qualified Leaver,2004.2518860993355
2015,English,Male,Less than 35,Not a qualified Leaver,2111.831561876794
2016,English,Male,Less than 35,Not a qualified Leaver,2111.906487709987
2017,English,Male,Less than 35,Not a qualified Leaver,2142.8895187956514
2011,Food,Male,Less than 35,Not a qualified Leaver,55.98363546555306
2012,Food,Male,Less than 35,Not a qualified Leaver,56.50809299440747
2013,Food,Male,Less than 35,Not a qualified Leaver,55.87576722311823
2014,Food,Male,Less than 35,Not a qualified Leaver,60.045965650692395
2015,Food,Male,Less than 35,Not a qualified Leaver,50.927150607507784
2016,Food,Male,Less than 35,Not a qualified Leaver,66.74377619862823
2017,Food,Male,Less than 35,Not a qualified Leaver,52.76651617517961
2011,Geography,Male,Less than 35,Not a qualified Leaver,1357.3798400428022
2012,Geography,Male,Less than 35,Not a qualified Leaver,1408.5102341475144
2013,Geography,Male,Less than 35,Not a qualified Leaver,1444.1219695720717
2014,Geography,Male,Less than 35,Not a qualified Leaver,1415.2929073309363
2015,Geography,Male,Less than 35,Not a qualified Leaver,1388.787263494879
2016,Geography,Male,Less than 35,Not a qualified Leaver,1377.8589096444766
2017,Geography,Male,Less than 35,Not a qualified Leaver,1344.907336575834
2011,History,Male,Less than 35,Not a qualified Leaver,1494.4891389206805
2012,History,Male,Less than 35,Not a qualified Leaver,1531.9591896291615
2013,History,Male,Less than 35,Not a qualified Leaver,1601.1662063529534
2014,History,Male,Less than 35,Not a qualified Leaver,1639.8355995508778
2015,History,Male,Less than 35,Not a qualified Leaver,1627.78541264787
2016,History,Male,Less than 35,Not a qualified Leaver,1669.9280927794352
2017,History,Male,Less than 35,Not a qualified Leaver,1713.0675247190418
2011,Mathematics,Male,Less than 35,Not a qualified Leaver,3422.8876589872752
2012,Mathematics,Male,Less than 35,Not a qualified Leaver,3520.3822988526804
2013,Mathematics,Male,Less than 35,Not a qualified Leaver,3764.1751951079573
2014,Mathematics,Male,Less than 35,Not a qualified Leaver,3873.1065354470766
2015,Mathematics,Male,Less than 35,Not a qualified Leaver,3878.9804719382805
2016,Mathematics,Male,Less than 35,Not a qualified Leaver,3945.9801870091696
2017,Mathematics,Male,Less than 35,Not a qualified Leaver,3982.6172433664738
2011,Modern Foreign Languages,Male,Less than 35,Not a qualified Leaver,730.9270952995521
2012,Modern Foreign Languages,Male,Less than 35,Not a qualified Leaver,754.3668640049212
2013,Modern Foreign Languages,Male,Less than 35,Not a qualified Leaver,790.6675339522021
2014,Modern Foreign Languages,Male,Less than 35,Not a qualified Leaver,769.5353349264352
2015,Modern Foreign Languages,Male,Less than 35,Not a qualified Leaver,740.8352501904653
2016,Modern Foreign Languages,Male,Less than 35,Not a qualified Leaver,700.35315137991
2017,Modern Foreign Languages,Male,Less than 35,Not a qualified Leaver,687.5065959607107
2011,Music,Male,Less than 35,Not a qualified Leaver,766.4408100335413
2012,Music,Male,Less than 35,Not a qualified Leaver,819.7320000027994
2013,Music,Male,Less than 35,Not a qualified Leaver,842.9349461550214
2014,Music,Male,Less than 35,Not a qualified Leaver,828.0668664303406
2015,Music,Male,Less than 35,Not a qualified Leaver,847.311807927176
2016,Music,Male,Less than 35,Not a qualified Leaver,789.5978671337191
2017,Music,Male,Less than 35,Not a qualified Leaver,747.3465957236133
2011,Others,Male,Less than 35,Not a qualified Leaver,1557.2646593551126
2012,Others,Male,Less than 35,Not a qualified Leaver,1503.992509676375
2013,Others,Male,Less than 35,Not a qualified Leaver,1531.8542607119634
2014,Others,Male,Less than 35,Not a qualified Leaver,1433.349088309235
2015,Others,Male,Less than 35,Not a qualified Leaver,1344.4735669031109
2016,Others,Male,Less than 35,Not a qualified Leaver,1238.8418169372926
2017,Others,Male,Less than 35,Not a qualified Leaver,1109.391034327985
2011,Physical Education,Male,Less than 35,Not a qualified Leaver,5048.373335767374
2012,Physical Education,Male,Less than 35,Not a qualified Leaver,4901.31902610104
2013,Physical Education,Male,Less than 35,Not a qualified Leaver,4742.851064287976
2014,Physical Education,Male,Less than 35,Not a qualified Leaver,4509.181697730077
2015,Physical Education,Male,Less than 35,Not a qualified Leaver,4315.470196785787
2016,Physical Education,Male,Less than 35,Not a qualified Leaver,4045.918482698391
2017,Physical Education,Male,Less than 35,Not a qualified Leaver,3676.728666142968
2011,Physics,Male,Less than 35,Not a qualified Leaver,1492.8307526915673
2012,Physics,Male,Less than 35,Not a qualified Leaver,1550.2653113185852
2013,Physics,Male,Less than 35,Not a qualified Leaver,1663.5012858131936
2014,Physics,Male,Less than 35,Not a qualified Leaver,1607.95052758608
2015,Physics,Male,Less than 35,Not a qualified Leaver,1608.0577237949562
2016,Physics,Male,Less than 35,Not a qualified Leaver,1551.067093750885
2017,Physics,Male,Less than 35,Not a qualified Leaver,1580.5305250246024
2011,Religious Education,Male,Less than 35,Not a qualified Leaver,710.4572541347138
2012,Religious Education,Male,Less than 35,Not a qualified Leaver,699.7096880778286
2013,Religious Education,Male,Less than 35,Not a qualified Leaver,700.3908045238263
2014,Religious Education,Male,Less than 35,Not a qualified Leaver,670.8155286991546
2015,Religious Education,Male,Less than 35,Not a qualified Leaver,689.9884357143474
2016,Religious Education,Male,Less than 35,Not a qualified Leaver,705.1899213104169
2017,Religious Education,Male,Less than 35,Not a qualified Leaver,675.1667716729442
2011,Art & Design,Female,35-54,Retired,35.336570548600605
2012,Art & Design,Female,35-54,Retired,40.17677380506555
2013,Art & Design,Female,35-54,Retired,18.497844815692403
2014,Art & Design,Female,35-54,Retired,28.06275455807943
2015,Art & Design,Female,35-54,Retired,26.03442474050736
2016,Art & Design,Female,35-54,Retired,12.085971325207124
2017,Art & Design,Female,35-54,Retired,13.147289495575418
2011,Biology,Female,35-54,Retired,30.49095437137402
2012,Biology,Female,35-54,Retired,17.940690114598844
2013,Biology,Female,35-54,Retired,20.26306998874964
2014,Biology,Female,35-54,Retired,35.78174360397525
2015,Biology,Female,35-54,Retired,27.70070339485414
2016,Biology,Female,35-54,Retired,19.438266557844077
2017,Biology,Female,35-54,Retired,2.837953784686118
2011,Business Studies,Female,35-54,Retired,27.423884594605514
2012,Business Studies,Female,35-54,Retired,14.674980387794752
2013,Business Studies,Female,35-54,Retired,18.510391713379253
2014,Business Studies,Female,35-54,Retired,11.257862224434506
2015,Business Studies,Female,35-54,Retired,9.09977664097667
2016,Business Studies,Female,35-54,Retired,3.641426449445531
2017,Business Studies,Female,35-54,Retired,4.248985812758877
2011,Chemistry,Female,35-54,Retired,39.72332937646121
2012,Chemistry,Female,35-54,Retired,37.666402791773066
2013,Chemistry,Female,35-54,Retired,38.62572675681569
2014,Chemistry,Female,35-54,Retired,25.400153719558393
2015,Chemistry,Female,35-54,Retired,17.985748476620028
2016,Chemistry,Female,35-54,Retired,12.528752958097359
2017,Chemistry,Female,35-54,Retired,13.576305748735665
2011,Classics,Female,35-54,Retired,0
2012,Classics,Female,35-54,Retired,1.633208742614
2013,Classics,Female,35-54,Retired,0
2014,Classics,Female,35-54,Retired,0.09925673682716707
2015,Classics,Female,35-54,Retired,0
2016,Classics,Female,35-54,Retired,0.8080433769431347
2017,Classics,Female,35-54,Retired,1.0219842231470524
2011,Computing,Female,35-54,Retired,17.228071588414235
2012,Computing,Female,35-54,Retired,20.98608941898293
2013,Computing,Female,35-54,Retired,14.5620888183801
2014,Computing,Female,35-54,Retired,20.697383992962916
2015,Computing,Female,35-54,Retired,16.31494856951158
2016,Computing,Female,35-54,Retired,16.48921518848904
2017,Computing,Female,35-54,Retired,17.31917509522139
2011,Design & Technology,Female,35-54,Retired,58.714058005656625
2012,Design & Technology,Female,35-54,Retired,54.95725739926448
2013,Design & Technology,Female,35-54,Retired,40.93447902418023
2014,Design & Technology,Female,35-54,Retired,35.328697806570354
2015,Design & Technology,Female,35-54,Retired,33.21382455087183
2016,Design & Technology,Female,35-54,Retired,25.913115330307438
2017,Design & Technology,Female,35-54,Retired,19.022344756966675
2011,Drama,Female,35-54,Retired,24.749098047515048
2012,Drama,Female,35-54,Retired,24.726582469030387
2013,Drama,Female,35-54,Retired,17.28102943499935
2014,Drama,Female,35-54,Retired,11.307727240820466
2015,Drama,Female,35-54,Retired,12.796798392620307
2016,Drama,Female,35-54,Retired,15.101744314760504
2017,Drama,Female,35-54,Retired,5.6266031734721835
2011,English,Female,35-54,Retired,155.63268294261206
2012,English,Female,35-54,Retired,125.85349813414703
2013,English,Female,35-54,Retired,88.39219305695775
2014,English,Female,35-54,Retired,85.54099673704744
2015,English,Female,35-54,Retired,83.26780959116923
2016,English,Female,35-54,Retired,62.24045680746767
2017,English,Female,35-54,Retired,27.532071734447438
2011,Food,Female,35-54,Retired,24.196180896121188
2012,Food,Female,35-54,Retired,35.03126582695691
2013,Food,Female,35-54,Retired,22.351895629551542
2014,Food,Female,35-54,Retired,10.857292396446674
2015,Food,Female,35-54,Retired,17.882977827420767
2016,Food,Female,35-54,Retired,9.996543197510988
2017,Food,Female,35-54,Retired,9.481835368026161
2011,Geography,Female,35-54,Retired,33.790313621372206
2012,Geography,Female,35-54,Retired,21.42111839162589
2013,Geography,Female,35-54,Retired,33.87589167509286
2014,Geography,Female,35-54,Retired,25.54189743655832
2015,Geography,Female,35-54,Retired,19.722496615098038
2016,Geography,Female,35-54,Retired,8.235772613099856
2017,Geography,Female,35-54,Retired,11.717018095999057
2011,History,Female,35-54,Retired,34.37959989808233
2012,History,Female,35-54,Retired,22.997186593736718
2013,History,Female,35-54,Retired,22.460843638051028
2014,History,Female,35-54,Retired,23.34081137166291
2015,History,Female,35-54,Retired,19.086700264037557
2016,History,Female,35-54,Retired,15.930623312196639
2017,History,Female,35-54,Retired,8.447674758410502
2011,Mathematics,Female,35-54,Retired,102.36531207152203
2012,Mathematics,Female,35-54,Retired,93.67189971348196
2013,Mathematics,Female,35-54,Retired,72.52374146201014
2014,Mathematics,Female,35-54,Retired,60.855088752149264
2015,Mathematics,Female,35-54,Retired,60.95174071391518
2016,Mathematics,Female,35-54,Retired,67.16546320569601
2017,Mathematics,Female,35-54,Retired,24.844317580009417
2011,Modern Foreign Languages,Female,35-54,Retired,81.92677591784944
2012,Modern Foreign Languages,Female,35-54,Retired,103.2209723901786
2013,Modern Foreign Languages,Female,35-54,Retired,58.47020687439466
2014,Modern Foreign Languages,Female,35-54,Retired,50.98885691905049
2015,Modern Foreign Languages,Female,35-54,Retired,51.53424883008747
2016,Modern Foreign Languages,Female,35-54,Retired,34.393276766289986
2017,Modern Foreign Languages,Female,35-54,Retired,16.7178721307907
2011,Music,Female,35-54,Retired,18.135449835675765
2012,Music,Female,35-54,Retired,13.01454728663797
2013,Music,Female,35-54,Retired,10.947175319216077
2014,Music,Female,35-54,Retired,14.716793173914922
2015,Music,Female,35-54,Retired,8.893631742820874
2016,Music,Female,35-54,Retired,14.227354228219063
2017,Music,Female,35-54,Retired,5.681070233683442
2011,Others,Female,35-54,Retired,99.87591033457687
2012,Others,Female,35-54,Retired,55.387474907996996
2013,Others,Female,35-54,Retired,47.29115230317411
2014,Others,Female,35-54,Retired,41.20270721121563
2015,Others,Female,35-54,Retired,30.79125454701986
2016,Others,Female,35-54,Retired,24.004594073342794
2017,Others,Female,35-54,Retired,20.32038407810823
2011,Physical Education,Female,35-54,Retired,44.66657831804219
2012,Physical Education,Female,35-54,Retired,30.855882632035865
2013,Physical Education,Female,35-54,Retired,37.27878372894651
2014,Physical Education,Female,35-54,Retired,31.70311691980855
2015,Physical Education,Female,35-54,Retired,27.864189970638808
2016,Physical Education,Female,35-54,Retired,19.39108488396501
2017,Physical Education,Female,35-54,Retired,12.89064443935226
2011,Physics,Female,35-54,Retired,19.4970113163611
2012,Physics,Female,35-54,Retired,10.921551961012865
2013,Physics,Female,35-54,Retired,16.15283557600114
2014,Physics,Female,35-54,Retired,11.168931638261173
2015,Physics,Female,35-54,Retired,9.08272708865874
2016,Physics,Female,35-54,Retired,7.859512653376057
2017,Physics,Female,35-54,Retired,9.39394867856825
2011,Religious Education,Female,35-54,Retired,38.5819835697457
2012,Religious Education,Female,35-54,Retired,38.17515286465988
2013,Religious Education,Female,35-54,Retired,31.632676755924972
2014,Religious Education,Female,35-54,Retired,14.185563795502441
2015,Religious Education,Female,35-54,Retired,20.305661339924225
2016,Religious Education,Female,35-54,Retired,19.739504884839462
2017,Religious Education,Female,35-54,Retired,8.167926106115784
2011,Art & Design,Male,35-54,Retired,19.010106564857512
2012,Art & Design,Male,35-54,Retired,13.062941564347014
2013,Art & Design,Male,35-54,Retired,15.736325394030171
2014,Art & Design,Male,35-54,Retired,7.890848529539252
2015,Art & Design,Male,35-54,Retired,14.549424573394532
2016,Art & Design,Male,35-54,Retired,10.5873557349682
2017,Art & Design,Male,35-54,Retired,7.893205387153617
2011,Biology,Male,35-54,Retired,27.868765770467547
2012,Biology,Male,35-54,Retired,41.67929643810485
2013,Biology,Male,35-54,Retired,11.404497174554292
2014,Biology,Male,35-54,Retired,17.283648965249558
2015,Biology,Male,35-54,Retired,11.317654148016585
2016,Biology,Male,35-54,Retired,9.733758234318936
2017,Biology,Male,35-54,Retired,1.6956823227466928
2011,Business Studies,Male,35-54,Retired,27.64586623354331
2012,Business Studies,Male,35-54,Retired,13.442306942140151
2013,Business Studies,Male,35-54,Retired,14.626708624059908
2014,Business Studies,Male,35-54,Retired,14.360384655125587
2015,Business Studies,Male,35-54,Retired,8.98476987841119
2016,Business Studies,Male,35-54,Retired,6.953647326750951
2017,Business Studies,Male,35-54,Retired,2.933651747725102
2011,Chemistry,Male,35-54,Retired,32.58107437620228
2012,Chemistry,Male,35-54,Retired,20.883106843773692
2013,Chemistry,Male,35-54,Retired,12.738784388416533
2014,Chemistry,Male,35-54,Retired,37.38970729067161
2015,Chemistry,Male,35-54,Retired,22.198996778066842
2016,Chemistry,Male,35-54,Retired,21.567701171873228
2017,Chemistry,Male,35-54,Retired,13.511973033256746
2011,Classics,Male,35-54,Retired,0
2012,Classics,Male,35-54,Retired,1.1928857421305523
2013,Classics,Male,35-54,Retired,2.9046885475362267
2014,Classics,Male,35-54,Retired,1.373568963010347
2015,Classics,Male,35-54,Retired,0
2016,Classics,Male,35-54,Retired,0
2017,Classics,Male,35-54,Retired,0
2011,Computing,Male,35-54,Retired,67.19901006420625
2012,Computing,Male,35-54,Retired,47.99043562505959
2013,Computing,Male,35-54,Retired,33.87659268850233
2014,Computing,Male,35-54,Retired,42.846632866082246
2015,Computing,Male,35-54,Retired,16.149681060032147
2016,Computing,Male,35-54,Retired,14.33353086069043
2017,Computing,Male,35-54,Retired,7.3808265024857365
2011,Design & Technology,Male,35-54,Retired,101.50836710741208
2012,Design & Technology,Male,35-54,Retired,62.89281805594363
2013,Design & Technology,Male,35-54,Retired,63.435757075650784
2014,Design & Technology,Male,35-54,Retired,59.24695044524358
2015,Design & Technology,Male,35-54,Retired,42.88862339303795
2016,Design & Technology,Male,35-54,Retired,32.403194607327855
2017,Design & Technology,Male,35-54,Retired,17.361690345925627
2011,Drama,Male,35-54,Retired,1.6731271803738743
2012,Drama,Male,35-54,Retired,7.028378556474751
2013,Drama,Male,35-54,Retired,7.1806236953948295
2014,Drama,Male,35-54,Retired,2.1688867195892856
2015,Drama,Male,35-54,Retired,4.219983684528298
2016,Drama,Male,35-54,Retired,7.250749538028384
2017,Drama,Male,35-54,Retired,4.196731917252544
2011,English,Male,35-54,Retired,44.79658810687495
2012,English,Male,35-54,Retired,42.97896827605431
2013,English,Male,35-54,Retired,34.572012442826065
2014,English,Male,35-54,Retired,31.191655622818804
2015,English,Male,35-54,Retired,17.597620760647384
2016,English,Male,35-54,Retired,12.754678555783103
2017,English,Male,35-54,Retired,3.959140279193979
2011,Food,Male,35-54,Retired,0.08613726431277573
2012,Food,Male,35-54,Retired,2.6866430286570364
2013,Food,Male,35-54,Retired,2.5053967201449296
2014,Food,Male,35-54,Retired,1.9592454123034493
2015,Food,Male,35-54,Retired,1.65922238651179
2016,Food,Male,35-54,Retired,0
2017,Food,Male,35-54,Retired,0
2011,Geography,Male,35-54,Retired,47.65378804710403
2012,Geography,Male,35-54,Retired,31.608901405855065
2013,Geography,Male,35-54,Retired,16.602425128768644
2014,Geography,Male,35-54,Retired,16.679956611519653
2015,Geography,Male,35-54,Retired,26.406643892597067
2016,Geography,Male,35-54,Retired,13.266277692741859
2017,Geography,Male,35-54,Retired,0
2011,History,Male,35-54,Retired,22.308326030924214
2012,History,Male,35-54,Retired,35.61390751606703
2013,History,Male,35-54,Retired,30.1171648670495
2014,History,Male,35-54,Retired,26.795457383806013
2015,History,Male,35-54,Retired,14.354792798638162
2016,History,Male,35-54,Retired,14.511646983857736
2017,History,Male,35-54,Retired,0
2011,Mathematics,Male,35-54,Retired,81.9498991679441
2012,Mathematics,Male,35-54,Retired,72.04037007669771
2013,Mathematics,Male,35-54,Retired,58.192393953435634
2014,Mathematics,Male,35-54,Retired,55.97318694291032
2015,Mathematics,Male,35-54,Retired,51.78528576918904
2016,Mathematics,Male,35-54,Retired,29.47207845959181
2017,Mathematics,Male,35-54,Retired,36.04946388082812
2011,Modern Foreign Languages,Male,35-54,Retired,31.718843924318755
2012,Modern Foreign Languages,Male,35-54,Retired,21.717644954053398
2013,Modern Foreign Languages,Male,35-54,Retired,20.441139776869072
2014,Modern Foreign Languages,Male,35-54,Retired,13.736871753459297
2015,Modern Foreign Languages,Male,35-54,Retired,4.402690105751973
2016,Modern Foreign Languages,Male,35-54,Retired,13.153318019264855
2017,Modern Foreign Languages,Male,35-54,Retired,7.668933055633673
2011,Music,Male,35-54,Retired,25.871668589140796
2012,Music,Male,35-54,Retired,15.773507794077888
2013,Music,Male,35-54,Retired,22.2856500107021
2014,Music,Male,35-54,Retired,17.230095716661285
2015,Music,Male,35-54,Retired,15.897849050281462
2016,Music,Male,35-54,Retired,9.67895292691842
2017,Music,Male,35-54,Retired,11.20821466767985
2011,Others,Male,35-54,Retired,54.459838517305236
2012,Others,Male,35-54,Retired,39.728273316336825
2013,Others,Male,35-54,Retired,29.6985563706938
2014,Others,Male,35-54,Retired,23.44119847395616
2015,Others,Male,35-54,Retired,24.335485876874678
2016,Others,Male,35-54,Retired,8.991746757712386
2017,Others,Male,35-54,Retired,8.07532368290801
2011,Physical Education,Male,35-54,Retired,43.59672476010407
2012,Physical Education,Male,35-54,Retired,31.583885988491126
2013,Physical Education,Male,35-54,Retired,28.240046667850926
2014,Physical Education,Male,35-54,Retired,18.292760572705657
2015,Physical Education,Male,35-54,Retired,28.88174316196262
2016,Physical Education,Male,35-54,Retired,13.89030482045219
2017,Physical Education,Male,35-54,Retired,12.569701746092257
2011,Physics,Male,35-54,Retired,51.67551105475076
2012,Physics,Male,35-54,Retired,33.26630931331842
2013,Physics,Male,35-54,Retired,52.77216666164796
2014,Physics,Male,35-54,Retired,34.57591791587164
2015,Physics,Male,35-54,Retired,25.771977100922967
2016,Physics,Male,35-54,Retired,14.356284051870126
2017,Physics,Male,35-54,Retired,12.331399598035677
2011,Religious Education,Male,35-54,Retired,11.891168450645209
2012,Religious Education,Male,35-54,Retired,18.672871749527665
2013,Religious Education,Male,35-54,Retired,13.869749770519508
2014,Religious Education,Male,35-54,Retired,16.35065290449731
2015,Religious Education,Male,35-54,Retired,9.550679082399101
2016,Religious Education,Male,35-54,Retired,8.320791777027146
2017,Religious Education,Male,35-54,Retired,4.3495620917238975
2011,Art & Design,Female,55 and over,Retired,163.08204053838796
2012,Art & Design,Female,55 and over,Retired,155.589779106577
2013,Art & Design,Female,55 and over,Retired,181.06838420344445
2014,Art & Design,Female,55 and over,Retired,126.36274518492894
2015,Art & Design,Female,55 and over,Retired,149.68681997468397
2016,Art & Design,Female,55 and over,Retired,112.47529579069666
2017,Art & Design,Female,55 and over,Retired,78.058217717878
2011,Biology,Female,55 and over,Retired,175.13600740137406
2012,Biology,Female,55 and over,Retired,148.7784565583383
2013,Biology,Female,55 and over,Retired,165.75638297319983
2014,Biology,Female,55 and over,Retired,181.90887921759932
2015,Biology,Female,55 and over,Retired,177.12966615516086
2016,Biology,Female,55 and over,Retired,123.18826201141903
2017,Biology,Female,55 and over,Retired,145.67206272171896
2011,Business Studies,Female,55 and over,Retired,75.62614732971682
2012,Business Studies,Female,55 and over,Retired,79.8625037502472
2013,Business Studies,Female,55 and over,Retired,61.76718318250444
2014,Business Studies,Female,55 and over,Retired,53.15439563262345
2015,Business Studies,Female,55 and over,Retired,68.46091967423436
2016,Business Studies,Female,55 and over,Retired,57.637497779687564
2017,Business Studies,Female,55 and over,Retired,37.370780886281004
2011,Chemistry,Female,55 and over,Retired,118.81986725272307
2012,Chemistry,Female,55 and over,Retired,89.19224005324776
2013,Chemistry,Female,55 and over,Retired,83.22724645611513
2014,Chemistry,Female,55 and over,Retired,85.1154155765339
2015,Chemistry,Female,55 and over,Retired,64.96575571153761
2016,Chemistry,Female,55 and over,Retired,97.49170959758551
2017,Chemistry,Female,55 and over,Retired,33.20353819409574
2011,Classics,Female,55 and over,Retired,8.614745681859564
2012,Classics,Female,55 and over,Retired,9.227995121162799
2013,Classics,Female,55 and over,Retired,8.579548354829019
2014,Classics,Female,55 and over,Retired,15.643799098478645
2015,Classics,Female,55 and over,Retired,12.156074306907861
2016,Classics,Female,55 and over,Retired,9.175806667336698
2017,Classics,Female,55 and over,Retired,4.2209414430042
2011,Computing,Female,55 and over,Retired,86.25332646203128
2012,Computing,Female,55 and over,Retired,78.57055762711055
2013,Computing,Female,55 and over,Retired,80.41061514994396
2014,Computing,Female,55 and over,Retired,62.99440615354666
2015,Computing,Female,55 and over,Retired,58.21129971206068
